Strategy,Company
Keep,Microsoft Corporation
Keep,Facebook Inc
Lower,Tesla Motors Inc
Top,Alphabet Inc
Keep,The Procter & Gamble Company
Keep,Apple Inc
Keep,Johnson & Johnson
Keep,The Walt Disney Company
Keep,Prudential Financial Inc
Keep,Audi AG
Keep,Cisco Systems Inc
Lower,British American Tobacco Plc
Keep,LVMH Moët Hennessy Louis Vuitton SE
Keep,Alibaba Group Holding Ltd ADR
Top,Unilever PLC
Keep,LinkedIn Corporation
Keep,Novartis AG ADR
Lower,HSBC Holdings PLC
Lower,Wells Fargo & Company
Keep,SABMiller PLC
Keep,Netflix Inc
Bottom,The Goldman Sachs Group Inc
Lower,Exxon Mobil Corporation
Lower,The Royal Bank of Scotland Group PLC
Keep,AstraZeneca PLC
Keep,EasyJet PLC
Keep,Burberry Group PLC
Raise,Whole Foods Market Inc
Keep,Intercontinental Hotel Group Plc
Keep,Nike Inc
Keep,Marriott International
Keep,SAP SE
Keep,Pfizer Inc
Bottom,JPMorgan Chase & Company
Keep,Diageo PLC
Keep,General Electric Company
Keep,Chevron Corporation
Bottom,Deutsche Bank AG
Keep,Twitter Inc
Raise,Starbucks Corporation
Lower,Royal Dutch Shell PLC
Keep,BlackRock Inc
Keep,Intel Corporation
Keep,Citigroup Inc
Raise,Wal-Mart Stores Inc.
Keep,The Home Depot Inc
Lower,Yahoo Inc
Lower,Morgan Stanley
Keep,Discovery Communications Inc
Keep,Colgate-Palmolive Company
Keep,BAE Systems PLC
Keep,Oracle Corporation
Keep,Viacom Inc
Keep,American Express Company
Keep,Pepsico Inc
Lower,UBS Group AG
Keep,Standard Life PLC
Keep,Barratt Developments PLC
Lower,Amazon.com Inc
Keep,General Motors Company
Keep,Hilton Hotels Corporation
Keep,Deutsche Telekom AG
Keep,Mastercard Inc
Keep,Vodafone Group Plc
Keep,ITV Plc
Keep,Kingfisher PLC
Keep,United Parcel Service Inc
Raise,Banco Santander SA ADR
Keep,Bayerische Motoren Werke AG
Keep,Accenture PLC
Keep,Sony Corporation
Lower,The Coca-Cola Company
Keep,Rolls Royce Holding Plc
Lower,Bank of America Corporation
Raise,Barclays PLC
Keep,Monster Beverage Corporation
Keep,Nvidia Corporation
Keep,Ford Motor Company
Lower,Total SA ADR
Keep,Glaxosmithkline PLC
Keep,AT&T Inc
Keep,Target Corp
Keep,Imperial Tobacco Group Plc
Keep,The Boeing Company
Keep,Carnival Plc
Lower,Standard Chartered PLC
Keep,Sky Plc
Keep,J Sainsbury PLC
Keep,National Grid PLC
Keep,Daimler AG
Keep,Mcdonald's Corpoation
Keep,Toyota Motor Corp ADR
Keep,Volkswagen Group
Keep,Credit Suisse Group
Keep,Direct Line Insurance Group PLC
Keep,CVS Health
Keep,Aviva PLC
Keep,Verizon Communications Inc
Keep,Lloyds Banking Group PLC
Keep,Comcast Corporation
Keep,Honeywell International Inc
Keep,Time Warner Inc
Keep,Visa Inc
Keep,BP PLC
Keep,Ebay Inc
Keep,Honda Motor Co Ltd
Keep,Associated British Foods PLC
Keep,Tesco PLC
Keep,Twenty-First Century Fox Inc
Keep,Electronic Arts Inc
Keep,Marks and Spencer Group PLC
Keep,Next PLC
Lower,"Samsung Electronics Co., Ltd."
Keep,Travis Perkins PLC
Keep,The Kraft Heinz Company
Keep,Schroders PLC
Keep,Royal Mail PLC
Keep,Mattel Inc
Raise,Ocado Group
Keep,Garmin Ltd
Keep,Whitbread PLC
Keep,International Consolidated Airlines Group
Raise,General Mills Inc
Keep,Rio Tinto PLC
Keep,Walgreens Boots Alliance Inc
Keep,TripAdvisor Inc
Lower,American International Group Inc
Keep,Pearson PLC
Keep,International Business Machines Corporation
Keep,SSE PLC
Keep,Virgin Money Holdings (UK) PLC
Keep,Charter Communication Inc
Keep,WM Morrison Supermarkets PLC
Keep,BT Group Plc
Keep,Staples Inc
Keep,American Airlines Inc
Keep,Centrica PLC
Keep,Anglo American PLC
Keep,Dixons Carphone PLC
Keep,Experian PLC
Keep,Mondelez International Inc
Keep,BHP Billiton PLC
Keep,Severn Trent Plc
Keep,London Stock Exchange Group PLC
Keep,Legal & General Group PLC
Keep,Merck & Co. Inc
Raise,Ryanair Ltd
Keep,TalkTalk Telecom Group
Keep,Hargreaves Lansdown PLC
Keep,Abercrombie & Fitch Co.
Keep,JD Sports Fashion PLC
Keep,SouthWest Airlines Company
Keep,Baidu Inc
Keep,Dongfeng Motor Corporation
Keep,Tata Motors Limited
Keep,Tencent Holdings Limited
Keep,Telefonica SA ADR
Keep,Aditya Birla Group
Keep,Infosys Limited
Keep,China Mobile Communications Corporation
Keep,Tata Steel Limited
Keep,ITC Limited
Raise,News Corporation
Bottom,Sports Direct International PLC
